domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
edelcap.com, 2142, 81247563056 (75.60GB), 0, 506443, 81247563056, 0, 0, 0, 0
oops.co.in, 4, 1611588 (1.54MB), 321144940 (306.27MB), 35, 1611588, 0, 0, 0, 0
charirrfc.in, 1, 110342129 (105.23MB), 172498120 (164.51MB), 281, 110342129, 0, 0, 0, 0
vinshatech.com, 5, 647376 (632.20KB), 508012721 (484.48MB), 44, 647376, 0, 0, 0, 0
giftville.in, 4, 70809788 (67.53MB), 225231124 (214.80MB), 435, 70173110, 25, 636678, 0, 0
kandhadai.com, 2, 94667 (92.45KB), 48521831 (46.27MB), 6, 94667, 0, 0, 0, 0
vtechsystems.com, 6, 354125192 (337.72MB), 5056893895 (4.71GB), 3821, 313300919, 659, 9627772, 4531, 31196501
hisdom.org, 1, 768113 (750.11KB), 2306975 (2.20MB), 35, 768113, 0, 0, 0, 0
enmail.com, 34, 116069319 (110.69MB), 9353654788 (8.71GB), 1512, 90529562, 824, 15000245, 197, 10539512
congressmedia.net, 41, 20949794 (19.98MB), 2345680039 (2.18GB), 75, 20949794, 0, 0, 0, 0
seahorseindia.co.in, 1, 3416709 (3.26MB), 41707869 (39.78MB), 131, 2369405, 1, 72035, 65, 975269
rosaonline.org, 2, 27126438331 (25.26GB), 622255508 (593.43MB), 2869, 2566007546, 12060, 18863890350, 6220, 5696540435
vanmoppesindia.com, 19, 6604597980 (6.15GB), 15250322070 (14.20GB), 14920, 2036794012, 2645, 498153651, 73173, 4069650317
learnyoga.org, 4, 126892923 (121.01MB), 181730906 (173.31MB), 389, 29680145, 27, 68051389, 414, 29161389
infobasesystemms.com, 4, 2011895974 (1.87GB), 3774551220 (3.52GB), 1008, 466060584, 1731, 634156061, 2018, 911679329
tristarcontainer.co.in, 24, 6593469158 (6.14GB), 3597155783 (3.35GB), 18522, 2781200428, 4366, 640133714, 33707, 3172135016
vimanindia.com, 23, 2106084723 (1.96GB), 137213447 (130.86MB), 13718, 916902844, 1102, 148619994, 15013, 1040561885
juseffex.com, 21, 1222503902 (1.14GB), 4567003844 (4.25GB), 2333, 425119806, 858, 74658654, 4816, 722725442
ptlinfotech.com, 6, 3802474 (3.63MB), 27974109 (26.68MB), 48, 1890551, 0, 0, 47, 1911923
alphaenter.net, 1, 341695612 (325.87MB), 4974720522 (4.63GB), 479, 144316804, 258, 52845543, 961, 144533265
bullfreight.com, 1, 130430124 (124.39MB), 23721036 (22.62MB), 1421, 70060331, 147, 25927219, 631, 34442574
kinship-global.com, 1, 127590916 (121.68MB), 134517 (131.36KB), 605, 57046847, 72, 12208613, 607, 58335456
agrowintl.in, 2, 29960 (29.26KB), 32768 (32.00KB), 0, 0, 2, 29960, 0, 0
srimarine.com, 2, 404205599 (385.48MB), 13857126 (13.22MB), 887, 244866624, 19, 1282999, 413, 158055976
pranaav.com, 20, 1623473641 (1.51GB), 1638560746 (1.53GB), 7724, 316732958, 529331, 1044245357, 7055, 262495326
lakshmicargo.net, 16, 554424039 (528.74MB), 1008448677 (961.73MB), 1380, 154360376, 1407, 168372429, 1825, 231691234
bhavantirupati.org, 2, 389254848 (371.22MB), 1682741518 (1.57GB), 686, 361376273, 23, 27878575, 0, 0
mfapartments.net, 1, 5865850 (5.59MB), 33711046 (32.15MB), 31, 4875822, 18, 990028, 0, 0
itapagro.com, 25, 3542287048 (3.30GB), 3371825496 (3.14GB), 12851, 1335068932, 332, 168738954, 24889, 2038479162
lfsindia.in, 3, 377343876 (359.86MB), 145070896 (138.35MB), 354, 122192300, 93, 73582225, 5009, 181569351
kllpl.org, 4, 1997090358 (1.86GB), 115983954 (110.61MB), 785, 333594394, 2055, 1295511869, 911, 367984095
harvishpromark.com, 3, 124588 (121.67KB), 78307 (76.47KB), 2, 44196, 4, 57820, 1, 22572
mahaagro.in, 15, 11290663950 (10.52GB), 4861296874 (4.53GB), 8881, 2913742832, 2649, 601389100, 61040, 7775532018
sricomworld.com, 20, 1231769876 (1.15GB), 1017820227 (970.67MB), 11547, 425033650, 120650, 443391518, 6756, 363344708
bhavanssvvidyalaya.org, 2, 50129815 (47.81MB), 25615646 (24.43MB), 13, 1484043, 12, 46430086, 14, 2215686
harshitaassociates.com, 2, 364902386 (348.00MB), 211939184 (202.12MB), 663, 105224708, 482, 126532332, 1084, 133145346
