domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 1, 151289 (147.74KB), 2412095 (2.30MB), 7, 151289, 0, 0, 0, 0
alphaenter.net, 1, 175142771 (167.03MB), 2720529803 (2.53GB), 256, 121518769, 66, 35943412, 308, 17680590
bhavanssvvidyalaya.org, 2, 82549596 (78.73MB), 138348020 (131.94MB), 65, 40695603, 8, 1284902, 65, 40569091
bhavantirupati.org, 2, 663295948 (632.57MB), 1177108275 (1.10GB), 1108, 644074267, 35, 19221681, 0, 0
bhumisagarexpo.com, 2, 310450655 (296.07MB), 75173439 (71.69MB), 254, 63480458, 520, 190435641, 242, 56534556
bullfreight.com, 1, 298675412 (284.84MB), 40817682 (38.93MB), 1554, 115052588, 226, 147199791, 246, 36423033
charirrfc.in, 1, 75135935 (71.66MB), 889291215 (848.09MB), 93, 75135935, 0, 0, 0, 0
congressmedia.net, 41, 16774873 (16.00MB), 3037155938 (2.83GB), 55, 16774873, 0, 0, 0, 0
enmail.com, 41, 61137909 (58.31MB), 8807932678 (8.20GB), 1417, 37149375, 735, 3853038, 340, 20135496
giftville.in, 4, 112680511 (107.46MB), 384099750 (366.31MB), 698, 111627361, 27, 1053150, 0, 0
harshitaassociates.com, 2, 378297099 (360.77MB), 218493712 (208.37MB), 713, 114850061, 290, 70538670, 595, 192908368
hisdom.org, 1, 648609 (633.41KB), 7073257 (6.75MB), 8, 648609, 0, 0, 0, 0
infobasesystemms.com, 4, 3030361204 (2.82GB), 6310843828 (5.88GB), 1365, 717129830, 2017, 722384501, 3023, 1590846873
itapagro.com, 16, 13878444206 (12.93GB), 4607859581 (4.29GB), 24606, 5366793014, 23402, 1129240471, 73106, 7382410721
juseffex.com, 29, 772744858 (736.95MB), 3979200 (3.79MB), 7701, 440562943, 17300, 119862959, 1778, 212318956
kandhadai.com, 2, 1200437 (1.14MB), 65133974 (62.12MB), 2, 1200437, 0, 0, 0, 0
kinship-global.com, 1, 172727384 (164.73MB), 134517 (131.36KB), 3312, 85305892, 0, 0, 3330, 87421492
kllpl.org, 4, 233919153 (223.08MB), 4313097619 (4.02GB), 1451, 90389379, 177, 56985009, 2092, 86544765
lakshmicargo.net, 17, 1274442988 (1.19GB), 471305917 (449.47MB), 1936, 387732680, 2603, 463248984, 2216, 423461324
learnyoga.org, 3, 106261486 (101.34MB), 172252975 (164.27MB), 618, 46224849, 3, 11786319, 673, 48250318
lfsindia.in, 3, 310659754 (296.27MB), 152154487 (145.11MB), 456, 82034576, 72, 60912786, 1152, 167712392
mahaagro.in, 14, 9423319803 (8.78GB), 9046481932 (8.43GB), 26851, 5760553322, 2713, 430238948, 33000, 3232527533
mindmatterz.in, 1, 136136 (132.95KB), 14362620 (13.70MB), 0, 0, 1, 136136, 0, 0
oops.co.in, 4, 5958110 (5.68MB), 388156872 (370.18MB), 26, 5958110, 0, 0, 0, 0
pranaav.com, 9, 204998912 (195.50MB), 97790177 (93.26MB), 8030, 124013155, 15, 9256158, 1262, 71729599
ptlinfotech.com, 3, 7372197 (7.03MB), 49502 (48.34KB), 80, 1930479, 0, 0, 195, 5441718
pushyaconsultancy.in, 2, 91700909 (87.45MB), 393691155 (375.45MB), 259, 42260513, 57, 10911381, 230, 38529015
renalo.net, 1, 28924754 (27.58MB), 88591 (86.51KB), 124, 8317804, 0, 0, 325, 20606950
rosaonline.org, 17, 3792976306 (3.53GB), 569256237 (542.89MB), 3233, 1090566232, 4052, 128028330, 6999, 2574381744
seahorseindia.co.in, 1, 47140893 (44.96MB), 735589014 (701.51MB), 188, 10373075, 79, 26026975, 201, 10740843
sibaflor.co.in, 21, 14079684530 (13.11GB), 3229871135 (3.01GB), 11156, 3997011558, 13887, 1053610542, 26651, 9029062430
sricomworld.com, 22, 2380658370 (2.22GB), 2108443000 (1.96GB), 4562, 754671748, 649, 885750215, 4003, 740236407
tristarcontainer.co.in, 27, 6239935646 (5.81GB), 1549969416 (1.44GB), 16571, 2547847802, 2833, 632183266, 40694, 3059904578
ucindia.net, 4, 772654 (754.54KB), 2554604 (2.44MB), 23, 757798, 1, 14856, 0, 0
vanmoppesindia.com, 27, 4568173403 (4.25GB), 21800968082 (20.30GB), 11503, 1573121125, 2893, 693264595, 29534, 2301787683
vimanindia.com, 4, 268494264 (256.06MB), 2467589969 (2.30GB), 3868, 162975342, 58, 16212100, 1320, 89306822
vtechsystems.com, 7, 399370101 (380.87MB), 4133163852 (3.85GB), 3228, 327980182, 10, 8275689, 2499, 63114230
